picture,style,color
001,0,0
117,0,0
002,0,0
003,0,0
004,0,0
005,0,0
006,0,0
119,0,0
007,0,0
008,0,0
009,0,0
011,0,0
012,0,0
013,0,0
014,0,0
015,0,0
016,0,0
017,0,0
018,0,0
019,0,0
112,0,0
010,0,0
113,0,0
020,0,0
021,0,0
022,0,0
023,0,0
024,0,0
025,0,0
026,0,0
027,0,0
028,0,0
029,0,0
030,0,0
031,0,0
032,0,0
033,0,0
115,0,0
034,0,0
035,0,0
036,0,1
114,0,1
037,0,1
038,0,1
039,0,1
040,0,1
041,0,1
042,0,1
043,0,1
044,0,1
045,0,1
046,0,1
047,0,1
048,0,1
049,1,1
118,0,1
050,0,1
051,0,1
052,0,1
116,0,1
053,0,1
120,0,1
054,0,1
055,0,1
056,0,1
057,1,1
058,0,1
059,0,1
060,0,1
061,0,1
062,0,1
063,1,1
064,0,1
065,0,1
066,0,1
067,0,1
068,0,1
069,0,1
070,0,1
071,0,1
072,1,0
073,1,0
074,1,0
075,1,0
076,1,0
077,1,0
078,1,0
079,1,0
080,1,0
081,1,0
082,1,0
083,1,0
084,0,0
085,0,0
086,1,0
087,1,0
088,1,0
089,1,0
090,1,0
091,1,0
092,1,1
093,1,1
094,1,1
095,1,1
096,1,1
097,1,1
098,1,1
099,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1